keywords,year,_metaphor,_author,_url,id,bin,bin_start
"Government,Uncategorized",1750,"""Delusion o'er my Mind usurps Command, / And rules each Sense with Fancy's magic Wand.""","Keate, George (1729-1797)",http://metaphors.lib.virginia.edu/metaphors/13890,still_life_command_rules_usurps_magic_wan_8286,1750-1800,1750
Government,0,"""It is, therefore, only the body which misfortune hands over to a master, and which he buys and sells; this inward part cannot be transferred as a chattel.""","Seneca, Lucius Annaeus (c. 4 B.C. - A.D. 65)",http://metaphors.lib.virginia.edu/metaphors/18846,still_life_master_chattel_101,0-500,0
Government,0,"""See, on the other hand, how evil and guilty a slavery the man is forced to serve who is dominated in turn by pleasures and pains, those most untrustworthy and passionate of masters.""","Seneca, Lucius Annaeus (c. 4 B.C. - A.D. 65)",http://metaphors.lib.virginia.edu/metaphors/16945,landscape_slavery_masters_102,0-500,0
"Uncategorized,Motion",0,"""Moreover, we ought not to allow our desires to wander far afield, but we must make them confine themselves to our immediate neighbourhood, since they will not endure to be altogether locked up.""","Seneca, Lucius Annaeus (c. 4 B.C. - A.D. 65)",http://metaphors.lib.virginia.edu/metaphors/19186,landscape_wander_far_afield_allow_altoge_107,0-500,0
"Architecture,Visual Arts",1750,"""He considered the mind of man like a room, which is either made agreeable or the reverse by the pictures with which it is adorned.""","Boswell, James (1740-1795)",http://metaphors.lib.virginia.edu/metaphors/17294,still_life_pictures_adorned_room_8307,1750-1800,1750
Body,1750,"""The legislative power is the heart of the State; the executive power is its brain, which causes the movement of all the parts.""","Rousseau, Jean-Jacques (1712-1778)",http://metaphors.lib.virginia.edu/metaphors/17622,portrait_heart_brain_8309,1750-1800,1750
"Body,Uncategorized",1750,"""Bear back, false Winchester, thy proffer'd Bliss, / Weigh Crowns and Kingdoms with a deed like this, / Far, far too light in Wisdom's eye they seem, / Nor shake the scale, while Reason holds the beam.""","Keate, George (1729-1797)",http://metaphors.lib.virginia.edu/metaphors/18889,still_life_weigh_crowns_light_scale_far_l_8311,1750-1800,1750
Light,1750,"""Conjecture thus,
That mental ignis fatuus,
Led his poor brains a weary dance
From France to England, hence to France.""","Churchill, Charles (1731-1764)",http://metaphors.lib.virginia.edu/metaphors/19784,landscape_ignis_fatuus_led_8312,1750-1800,1750
"Government,Uncategorized,Architecture",1750,"""With these grave fops, whose system seems / To give up certainty for dreams / The eye of man is understood / As for no other purpose good / Than as a door, through which, of course, / Their passage crowding objects force; / A downright usher, to admit / New-comers to the court of Wit.""","Churchill, Charles (1731-1764)",http://metaphors.lib.virginia.edu/metaphors/19785,portrait_door_passage_crowding_force_un_8313,1750-1800,1750
"Money,Impressions",0,"""I mean the things which belong to him as a man, the marks (stamps) in his mind with which he came into the world, such as we seek also on coins, and if we find them, we approve of the coins, and if we do not find the marks, we reject them.""",Epictetus (c. 55-c.135),http://metaphors.lib.virginia.edu/metaphors/8714,landscape_stamps_coins_coins_marks_marks_120,0-500,0
Fire,0,"""The heart is, as it were, the hearthstone and source of the  innate heat by which the animal is governed.""",Galen (129-200),http://metaphors.lib.virginia.edu/metaphors/10276,landscape_hearthstone_124,0-500,0
Dress,1750,"""The metaphor is a shorter simile,  or rather a kind of magical coat, by which the same idea assumes a thousand different appearances.""","Goldsmith, Oliver (1728?-1774)",http://metaphors.lib.virginia.edu/metaphors/20734,still_life_magical_coat_8318,1750-1800,1750
Optics,0,"""When the Intellect is in upward orientation that [lower part of it] which contains [or, corresponds to] the life of the Soul, is, so to speak, flung down again and becomes like the reflection resting on the smooth and shining surface of a mirror; in this illustration, when the mirror is in place the image appears but, though the mirror be absent or out of gear, all that would have acted and produced an image still exists; so in the case of the Soul; when there is peace in that within us which is capable of reflecting the images of the Rational and Intellectual-Principles these images appear.""",Plotinus (c. 205-270),http://metaphors.lib.virginia.edu/metaphors/23126,still_life_like_reflection_resting_shinin_128,0-500,0
Motion,1750,"""The mind falls with a heavy body, descends with a river, and ascends  with flame and smoke.""","Home, Henry, Lord Kames (1696-1782)",http://metaphors.lib.virginia.edu/metaphors/23278,landscape__8320,1750-1800,1750
Impressions,1750,"""The same object makes not always the same impression; because the mind, being of a limited capacity, cannot, at the same instant, give great attention to a plurality of objects.""","Home, Henry, Lord Kames (1696-1782)",http://metaphors.lib.virginia.edu/metaphors/23280,still_life_impression_8322,1750-1800,1750
Motion,1750,"""This is verified by experience; from which we learn, that different passions having the same end in view, impel the mind to action with united force. The mind receives not impulses alternately from these passions, but one strong impulse from the whole in conjunction.""","Home, Henry, Lord Kames (1696-1782)",http://metaphors.lib.virginia.edu/metaphors/23282,landscape_impel_action_impulse_8324,1750-1800,1750
Visual Arts,1750,"""But as resentment when so outrageous is contrary to conscience, the mind, to justify its passion as well as to gratify it, is disposed to paint these relations in the blackest colours; and it actually comes to be convinced, that they ought to be punished for their own demerits.""","Home, Henry, Lord Kames (1696-1782)",http://metaphors.lib.virginia.edu/metaphors/23284,landscape_mind_disposed_paint_colours_co_8326,1750-1800,1750
Government,0,"""Our next subject is whether reason judges the inner sense.""",St. Augustine (354-430),http://metaphors.lib.virginia.edu/metaphors/8424,landscape_whether_judges_reason_136,0-500,0
"Impressions,Motion",1750,"""A multitude of objects crowding into the mind at once, disturb the attention, and pass without making any impression, or any lasting impression.""","Home, Henry, Lord Kames (1696-1782)",http://metaphors.lib.virginia.edu/metaphors/23289,landscape_objects_crowding_disturb_impre_8330,1750-1800,1750
Government,0,"""And also the same teacher of the Gentiles cries aloud, 'I take pleasure together with the law of God after the inner man: but I see another law in my members, warring against the law of my mind.'""",St. Augustine (354-430),http://metaphors.lib.virginia.edu/metaphors/17798,still_life_law_law_law_144,0-500,0
Body,0,"""The Trinity's ""own light seemed to be present around us, still, no trinity appeared to us in nature, for in the midst of that splendor we did not keep the eye of our mind fixed steadily upon searching for it ... because that ineffable light beat back our gaze, and the weakness of our mind was convinced that it could not yet adjust itself to it""",St. Augustine (354-430),http://metaphors.lib.virginia.edu/metaphors/8681,still_life_eye_mind_fixed_steadily_search_152,0-500,0
Impressions,1750,"""Another valuable purpose may be gathered, from considering in what manner objects are imprinted upon the mind.""","Home, Henry, Lord Kames (1696-1782)",http://metaphors.lib.virginia.edu/metaphors/23305,still_life_objects_imprinted_upon_8346,1750-1800,1750
Animals,500,"""So I continued to ponder all the questions in my mind, not swallowing what I had heard, but rather chewing the cud of constant meditation.""",Boethius (480-524/5),http://metaphors.lib.virginia.edu/metaphors/8407,still_life_chewing_cud_160,500-1500,500
Mineral,1750,"""A Scythian's heart is steel'd 'gainst panic terrors.""","Cradock, Joseph (1742-1826)",http://metaphors.lib.virginia.edu/metaphors/23672,still_life_steel_8352,1750-1800,1750
Optics,500,"""celas etiam ut ita dixerim, speculum mentis [mirror of mind] tuae, ubi te omnis aetas ventura possit inspicere.""",Flavius Magnus Aurelius Cassiodorus(c. 484/490 - c. 585),http://metaphors.lib.virginia.edu/metaphors/23125,portrait_mentis_mirror_162,500-1500,500
"Body,Light:Sun",500,"""[The Active Intellect's] relation to our souls is that of the Sun to our vision.""",Avicenna [Ibn Sīnā] (c. 980-1037),http://metaphors.lib.virginia.edu/metaphors/18047,landscape_sun_vision_164,500-1500,500
Body,500,"""So, initially coming to know something is like treating the eye, but then when the eye is healthy, whenever it wants it looks at something from which a given form is taken, while when it turns from that thing, that [thing] comes to be in potency proximate to act.""",Avicenna [Ibn Sīnā] (c. 980-1037),http://metaphors.lib.virginia.edu/metaphors/18048,portrait_eye_eye_looks_something_165,500-1500,500
Dress,500,"""These bodily members are, as it were, no more than garments; which, because they have been attached to us for a long time, we think are us, or parts of us [and] the cause of this is the long period of adherence: we are accustomed to remove clothes and to throw them down, which we are entirely unaccustomed to do with our bodily members.""",Avicenna [Ibn Sīnā] (c. 980-1037),http://metaphors.lib.virginia.edu/metaphors/18049,still_life_bodily_garments_clothes_bodily_166,500-1500,500
Writing,500,"""What is more remarkable, every one of us carries in his heart a book of knowledge, opened by the exercise of reason.""",John of Salisbury (c. 1115-1180),http://metaphors.lib.virginia.edu/metaphors/8578,still_life_book_169,500-1500,500
Uncategorized,1750,"""La conscience est la voix de l’âme, ces passions sont la voix du corps.""","Rousseau, Jean-Jacques (1712-1778)",http://metaphors.lib.virginia.edu/metaphors/23312,landscape_de_passions_sont_8362,1750-1800,1750
Writing,1750,"""En suivant toujours ma méthode, je ne tire point ces règles des principes d’une haute philosophie, mais je les trouve au fond de mon coeur écrites par la nature en caractères ineffaçables [Following always my method, I do not draw these rules from the principles of the higher philosophy, but I find them in my heart written by nature in indelible characters].""","Rousseau, Jean-Jacques (1712-1778)",http://metaphors.lib.virginia.edu/metaphors/22141,landscape_caracteres_find_heart_written__8361,1750-1800,1750
"Population,Architecture",500,"""By these means, He makes the sinful soul, formerly the enemy of God, the den of the devil, and the slave of sin, to become the bride of Christ, the temple of the Holy Spirit, and the daughter of the eternal Father: all of which is brought about by a free and gracious INFUSION OF THE GIFT OF GRACE.""",St. Bonaventure [born Giovanni di Fidanza] (1217-1274),http://metaphors.lib.virginia.edu/metaphors/18105,landscape_enemy_den_sin_temple_gracious__182,500-1500,500
Physics,500,"""Finally, love, which is the gravitational force of the soul and the origin of all spiritual attraction, tends toward self with ease, but reaches out to the neighbor with effort, and to God with still greater pain.""",St. Bonaventure [born Giovanni di Fidanza] (1217-1274),http://metaphors.lib.virginia.edu/metaphors/18108,landscape_gravitational_force_attraction_185,500-1500,500
Uncategorized,500,"""Therefore the soul, which is the first principle of life, is not a body, but the act of a body; thus heat, which is the principle of calefaction, is not a body, but an act of a body.""",St. Thomas Aquinas (1225-1274),http://metaphors.lib.virginia.edu/metaphors/18654,landscape_body_heat_calefaction_calefact_191,500-1500,500
Motion,1750,"""My heart still hovers round those scenes of former happiness with pleasure; and I find satisfaction in enjoying them at this distance, though but in imagination.""","Goldsmith, Oliver (1728?-1774)",http://metaphors.lib.virginia.edu/metaphors/24263,landscape_round_scenes_imagination_8384,1750-1800,1750
Music,1750,"""It must, it must surely be, that this jarring discordant life is but the prelude to some future harmony; the soul attuned to virtue here, shall go from hence to fill up the universal choir where Tien presides in person, where there shall be no tyrants to frown, no shackles to bind, nor no whips to threaten, where I shall once more meet my father with rapture, and give a loose to filial piety, where I shall hang on his neck, and hear the wisdom of his lips, and thank him for all the happiness to which he has introduced me.""","Goldsmith, Oliver (1728?-1774)",http://metaphors.lib.virginia.edu/metaphors/24266,landscape_future_harmony_attuned_fill_ch_8387,1750-1800,1750
Body,500,"""It is separate indeed according to its intellectual power, because the intellectual power does not belong to a corporeal organ, as the power of seeing is the act of the eye; for understanding is an act which cannot be performed by a corporeal organ, like the act of seeing.""",St. Thomas Aquinas (1225-1274),http://metaphors.lib.virginia.edu/metaphors/18661,portrait_seeing_eye_seeing_197,500-1500,500
Light,500,"""Others said it is united to the body by means of light, which, they say, is a body and of the nature of the fifth essence; so that the vegetative soul would be united to the body by means of the light of the sidereal heaven; the sensible soul, by means of the light of the crystal heaven; and the intellectual soul by means of the light of the empyrean heaven.""",St. Thomas Aquinas (1225-1274),http://metaphors.lib.virginia.edu/metaphors/18665,still_life_light_light_light_light_201,500-1500,500
"Weather,Impressions",1750,"""Those storms may discompose in proportion as they are strong, or the mind is pliant to their impression.""","Goldsmith, Oliver (1728?-1774)",http://metaphors.lib.virginia.edu/metaphors/24273,landscape_storms_mind_impression_8394,1750-1800,1750
Body,1750,"""The differing colours which suit different complections, are not more various than the different pleasures appropriated to particular minds.""","Goldsmith, Oliver (1728?-1774)",http://metaphors.lib.virginia.edu/metaphors/24272,portrait_colours_different_complections_8393,1750-1800,1750
"Body,Optics",1750,"""I must own, by this time I began myself to suspect the fidelity of my mirror; for as the ladies appeared at least to have the merit of rising early, since they were up at five, I was amazed to find nothing of this good quality pictured upon their minds in the reflection; I was resolved therefore to communicate my suspicions to a lady, whose intellectual countenance appeared more fair than any of the rest, not having above seventy-nine spots in all, besides slips and foibles.""","Goldsmith, Oliver (1728?-1774)",http://metaphors.lib.virginia.edu/metaphors/24281,still_life_pictured_upon_countenance_appe_8401,1750-1800,1750
"Optics,Writing",1750,"""Here it was that I exulted in my success; no blot, no stain, appeared on any part of the faithful mirror. As when the large, unwritten page presents its snowy spotless bosom to the writer's hand; so appeared the glass to my view.""","Goldsmith, Oliver (1728?-1774)",http://metaphors.lib.virginia.edu/metaphors/24282,landscape_mirror_glass_unwritten_page_pr_8402,1750-1800,1750
Government,500,"""For the body obeys the soul blindly without any contradiction, in those things in which it has a natural aptitude to be moved by the soul: whence the Philosopher says (Polit. i, 3) that the 'soul rules the body with a despotic command' as the master rules his slave: wherefore the entire movement of the body is referred to the soul.""",St. Thomas Aquinas (1225-1274),http://metaphors.lib.virginia.edu/metaphors/18850,still_life_soul_soul_rules_master_rules_s_215,500-1500,500
"Population,War",1750,"""Reason guides the bands of either host, nor can it subdue one passion but by the assistance of another.""","Goldsmith, Oliver (1728?-1774)",http://metaphors.lib.virginia.edu/metaphors/24288,landscape_bands_assistance_bands_either_8408,1750-1800,1750
Government,500,"""As the gloss says, 'in the sin of fornication the soul is the body's slave in a special sense, because at the moment of sinning it can think of nothing else': whereas the pleasure of gluttony, although carnal, does not so utterly absorb the reason.""",St. Thomas Aquinas (1225-1274),http://metaphors.lib.virginia.edu/metaphors/18852,portrait_body_slave_sense_217,500-1500,500
"Uncategorized,Vehicles",1750,"""Thus, as a bark on every side beset with storms, enjoys a state of rest, so does the mind, when influenced by a just equipoise of the passions, enjoy tranquility""","Goldsmith, Oliver (1728?-1774)",http://metaphors.lib.virginia.edu/metaphors/24289,landscape_bark_beset_storms_beset_equipo_8409,1750-1800,1750
Uncategorized,1750,"""The Prince now found that he had all along been under the power of enchantment, that his passion for the white mouse was entirely fictitious, and not the genuine complexion of his soul; he now saw that his earnestness after mice was an illiberal amusement, and much more becoming a ratcatcher than a Prince.""","Goldsmith, Oliver (1728?-1774)",http://metaphors.lib.virginia.edu/metaphors/24290,still_life_white_entirely_fictitious_genu_8410,1750-1800,1750
"Dress,Optics",1750,"""Mr. Showman, cried she, approaching, I am told you has something to shew in that there sort of magic lanthorn, by which folks can see themselves on the inside; I protest, as my lord Beetle says, I am sure it will be vastly pretty, for I have never seen any thing like it before. But how; are we to strip off our cloaths and be turned inside out?""","Goldsmith, Oliver (1728?-1774)",http://metaphors.lib.virginia.edu/metaphors/24396,still_life_sort_magic_see_thing_like_thin_8415,1750-1800,1750
Government,1750,"""Yet, when by Fancy’s Influence unconfin’d, / Does Wisdom give my throbbing Bosom Laws? / Do calmer Thoughts compose my ruffled Mind?""","Carter, Elizabeth (1717-1806)",http://metaphors.lib.virginia.edu/metaphors/18802,landscape_unconfin_give_laws_8417,1750-1800,1750
Optics,1700,"""Thro' Reason's clearer Optics view'd, / How stript of all it's Pomp, how rude / Appears the painted Cheat.""","Carter, Elizabeth (1717-1806)",http://metaphors.lib.virginia.edu/metaphors/18776,portrait_clearer_optics_view_8422,1700-1750,1700
Body,500,""" [I]f someone were to turn his mind's sight to the possibility, or power, of oneness: he surely would see in every number and in all plurality only oneness's power""",Nicholas of Cusa (1401-1464),http://metaphors.lib.virginia.edu/metaphors/8727,still_life_sight_would_see_241,500-1500,500
Body,500,"""Therefore, my dearly beloved Peter, with keen directedness turn your mind's eye to this secret, and with this analysis enter into my writings and into whatever other writings you read, and occupy yourself especially with my books and sermons.""",Nicholas of Cusa (1401-1464),http://metaphors.lib.virginia.edu/metaphors/8728,landscape_directedness_mind_eye_directed_242,500-1500,500
Government,1750,"""While Night in solemn Shade invests the Pole, / And calm Reflexion soothes the pensive Soul; / While Reason undisturb'd asserts her Sway, / And Life’s deceitful Colours fade away: / To Thee! all-conscious Presence! I devote / This peaceful Interval of sober Thought.""","Carter, Elizabeth (1717-1806)",http://metaphors.lib.virginia.edu/metaphors/18777,landscape_soothes_pensive_reason_undistu_8435,1750-1800,1750
Animals,500,"""Take hede of thy horse, whyche ys thy body, that he be made buxome and mylde unto the soule whyche ys hys master.""",Anonymous,http://metaphors.lib.virginia.edu/metaphors/8731,landscape_thy_horse_whyche_body_245,500-1500,500
"Architecture,Writing",1500,"""Paucis libris vir sapiens contentus est, et quanto sapientior, tanto pauciorum codicum est indigus. Egregie autem eruditus in scrinio pectoris libriariam circunfert.""","Mair [Major], John (1467-1550)",http://metaphors.lib.virginia.edu/metaphors/17685,landscape_libris_vir_scrinio_pectoris_co_246,1500-1600,1500
Uncategorized,1750,"""Unreal Fantoms, empty void of Pow’r, / Borne on the fleeting Pinions of an Hour! / Desert in Death the disappointed Mind, / Nor leave a Trace of Happiness behind!""","Carter, Elizabeth (1717-1806)",http://metaphors.lib.virginia.edu/metaphors/18791,landscape_fantoms_empty_void_pow_leave_t_8443,1750-1800,1750
Mineral,1500,"""Ignoraunce [...] maketh him unmeete metall for the impressions of vertue.""","Fleming, Abraham (c. 1552-1607)",http://metaphors.lib.virginia.edu/metaphors/8741,portrait_vertue_vertue_255,1500-1600,1500
Light,1600,"""This I say therefore, and testify in the Lord, that ye henceforth walk not as other Gentiles walk, in the vanity of their mind; having the understanding darkened, being alienated from the life of God through the ignorance that is in them, because of the blindness of their heart.""",The Church of England,http://metaphors.lib.virginia.edu/metaphors/19521,portrait_vanity_darkened_8448,1600-1700,1600
"Plant,Writing",1500,"""And for that the minde in infantes is like a payre of tables, wherein nothing is written, and like & tender twig which may be bowed euery way, it is cleare, that vertue or vice may easily be planted in it.""","Guazzo, Stefano (1530-1593); Pettie, George, trans. (1548-1589)",http://metaphors.lib.virginia.edu/metaphors/8747,landscape_payre_tables_wherein_written_t_261,1500-1600,1500
Writing,1500,"""The law of nature is sence and feeling, which everie one hath in himself, and in his conscience, whereby he discerneth between good and evil, as much as sufficeth to take from him the cloke of ignorance, in that he is reprooved even by his owne witnes.""","La Primaudaye, Pierre de (b. ca. 1545); Thomas Bowes (fl. 1586)",http://metaphors.lib.virginia.edu/metaphors/8751,landscape_law_everie_much_266,1500-1600,1500
Writing,1500,"""Read over Julia's heart, thy first, best love.""","Shakespeare, William (1564-1616)",http://metaphors.lib.virginia.edu/metaphors/9146,portrait_thy_heart_274,1500-1600,1500
Writing,1750,"""Engraven on my heart and mind, / O that I could Thy precepts find, / Begotten from above""","Wesley, John and Charles",http://metaphors.lib.virginia.edu/metaphors/13841,landscape_mind_8469,1750-1800,1750
Uncategorized,1750,"""But stamp Thine image on my heart""","Wesley, John and Charles",http://metaphors.lib.virginia.edu/metaphors/13858,portrait_thine_stamp_8479,1750-1800,1750
War,1500,"""Weep, wretched man, I'll aid thee tear for tear; / And let our hearts and eyes, like civil war,  / Be blind with tears, and break, o'ercharged with grief.""","Shakespeare, William (1564-1616)",http://metaphors.lib.virginia.edu/metaphors/9179,portrait_civil_war_287,1500-1600,1500
Uncategorized,1750,"""I want the faith in Jesu's blood / Which pardon on my conscience seals""","Wesley, John and Charles",http://metaphors.lib.virginia.edu/metaphors/13861,landscape_pardon_seals_8482,1750-1800,1750
Uncategorized,1500,"""Now let hot Etna cool in Sicily,  / And be my heart an ever-burning hell.""","Shakespeare, William (1564-1616)",http://metaphors.lib.virginia.edu/metaphors/8763,landscape_ever_burning_hell_302,1500-1600,1500
Machine,1500,"""O, that delightful engine of her thoughts, / That blabbed them with such pleasing eloquence, / Is torn from forth that pretty hollow cage / Where, like a sweet melodious bird, it sung / Sweet varied notes, enchanting every ear.""","Shakespeare, William (1564-1616)",http://metaphors.lib.virginia.edu/metaphors/8769,still_life_delightful_engine_pretty_308,1500-1600,1500
Container,1500,"""Well, I will lock his counsel in my breast / And what I do imagine, let that rest.""","Shakespeare, William (1564-1616)",http://metaphors.lib.virginia.edu/metaphors/8776,portrait_lock_315,1500-1600,1500
War,1500,"""To stir a mutiny in the mildest thoughts, / And arm the minds of infants to exclaims.""","Shakespeare, William (1564-1616)",http://metaphors.lib.virginia.edu/metaphors/8777,still_life_arm_316,1500-1600,1500
"Uncategorized,Mineral",1500,"""For men haue marble, women waxen mindes /  And therefore are they form'd as marble will, / The weake opprest, th'impression of strange kindes / Is form'd in them by force, by fraud, or skill.""","Shakespeare, William (1564-1616)",http://metaphors.lib.virginia.edu/metaphors/8779,landscape_haue_marble_marble_marble_wome_318,1500-1600,1500
Uncategorized,1750,"""Till judgement stamp her sanction on the whole, / And sink th'impression deep into the soul.--""","Sheridan [née Chamberlaine], Frances (1724-1766)",http://metaphors.lib.virginia.edu/metaphors/13947,landscape_stamp_impression_deep_8514,1750-1800,1750
Mineral,1750,"""With firm resolves my steady bosom steel, / Bravely to suffer, tho' I deeply feel.""","Churchill, Charles (1731-1764)",http://metaphors.lib.virginia.edu/metaphors/13963,still_life_resolves_bravely_steel_8521,1750-1800,1750
Animals,1500,"""Comb down his hair -- look, look: it stands upright, / Like lime twigs set to catch my wingèd soul.""","Shakespeare, William (1564-1616)",http://metaphors.lib.virginia.edu/metaphors/9173,still_life_catch_winged_soul_340,1500-1600,1500
"Body,Light",1500,"""Goodness is seen with the eye of the understanding. And the light of that eye, is reason.""","Hooker, Richard (1554-1600)",http://metaphors.lib.virginia.edu/metaphors/19773,portrait_eye_light_reason_347,1500-1600,1500
"Uncategorized,Impressions",1750,"""We remember that best in the morning, which we learnt just before we went to sleep: because, say the Cartesians, the traces made then are not apt to be effaced by the motions of the spirits, as they would, if new objects of sensation had presented themselves; and during this interval, they have (as it were) time to stiffen.""","Doddridge, Philip (1702-1751)",http://metaphors.lib.virginia.edu/metaphors/19168,landscape_cartesians_traces_made_spirits_8541,1750-1800,1750
